X,Y,objectid,pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,laua,ward,hlthau,ctry,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,ced,nhser,rgn,calncv,stp
-2.073663352,57.137910297836441,1001,AB1 3QF,AB1  3QF,AB1 3QF,198001,199606,0,395641,0805227,1,S00089106,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006631,S02001258,S34003038,S03000012,S99999999,S99999999,1,7A1,57.137926,-2.073655,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.078354213,57.137305553840392,1002,AB1 3QH,AB1  3QH,AB1 3QH,198001,199606,0,395357,0805160,1,S00089104,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006627,S02001257,S34003083,S03000012,S99999999,S99999999,1,7B3,57.137321,-2.078346,S99999999,S99999999,S23000009,1343,S99999999,S99999999,S99999999,S99999999,S99999999
-2.079229802,57.137287030457713,1003,AB1 3QJ,AB1  3QJ,AB1 3QJ,198001,199606,0,395304,0805158,1,S00089104,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006627,S02001257,S34003083,S03000012,S99999999,S99999999,1,7B3,57.137303,-2.079222,S99999999,S99999999,S23000009,1343,S99999999,S99999999,S99999999,S99999999,S99999999
-2.080453522,57.137825222154405,1004,AB1 3QL,AB1  3QL,AB1 3QL,198001,199606,0,395230,0805218,1,S00090590,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006627,S02001257,S34003083,S03000012,S99999999,S99999999,1,3C2,57.137841,-2.080446,S99999999,S99999999,S23000009,1343,S99999999,S99999999,S99999999,S99999999,S99999999
-2.080287065,57.137241434239833,1005,AB1 3QN,AB1  3QN,AB1 3QN,198001,199606,0,395240,0805153,1,S00090590,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006627,S02001257,S34003083,S03000012,S99999999,S99999999,1,3C2,57.137257,-2.080279,S99999999,S99999999,S23000009,1343,S99999999,S99999999,S99999999,S99999999,S99999999
-2.080502014,57.137322141806692,1006,AB1 3QP,AB1  3QP,AB1 3QP,198001,199606,0,395227,0805162,1,S00090590,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006627,S02001257,S34003083,S03000012,S99999999,S99999999,1,3C2,57.137338,-2.080494,S99999999,S99999999,S23000009,1343,S99999999,S99999999,S99999999,S99999999,S99999999
-2.084682838,57.13774155548095,1007,AB1 3QQ,AB1  3QQ,AB1 3QQ,198001,199606,0,394974,0805209,1,S00090590,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006627,S02001257,S34003083,S03000012,S99999999,S99999999,1,3C2,57.137757,-2.084675,S99999999,S99999999,S23000009,1343,S99999999,S99999999,S99999999,S99999999,S99999999
-2.077198075,57.13747695771756,1008,AB1 3QR,AB1  3QR,AB1 3QR,199402,199606,0,395427,0805179,3,S00089104,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006627,S02001257,S34003083,S03000012,S99999999,S99999999,1,7B3,57.137493,-2.07719,S99999999,S99999999,S23000009,1343,S99999999,S99999999,S99999999,S99999999,S99999999
-2.067732488,57.138120298032568,1009,AB1 3QS,AB1  3QS,AB1 3QS,197308,197612,0,396000,0805250,8,S00089108,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003038,S03000012,S99999999,S99999999,1,7B1,57.138136,-2.067724,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.067732327,57.138030467936311,1010,AB1 3QT,AB1  3QT,AB1 3QT,198001,199606,0,396000,0805240,8,S00089108,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003038,S03000012,S99999999,S99999999,1,7B1,57.138046,-2.067724,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.067732649,57.138210128127525,1011,AB1 3QU,AB1  3QU,AB1 3QU,197308,197606,0,396000,0805260,8,S00089108,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003038,S03000012,S99999999,S99999999,1,7B1,57.138226,-2.067724,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.048898544,57.138937621292442,1012,AB1 3QX,AB1  3QX,AB1 3QX,199512,199512,0,397140,0805340,8,S00089108,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003038,S03000012,S99999999,S99999999,1,7B1,57.138953,-2.04889,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.062446672,57.138841709366623,1013,AB1 3QY,AB1  3QY,AB1 3QY,198001,199606,0,396320,0805330,8,S00089108,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003038,S03000012,S99999999,S99999999,1,7B1,57.138857,-2.062438,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.07021174,57.138657896824967,1014,AB1 3RA,AB1  3RA,AB1 3RA,198001,199606,0,395850,0805310,8,S00089109,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006631,S02001258,S34002996,S03000012,S99999999,S99999999,1,3C2,57.138673,-2.070203,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.070840126,57.138953977743896,1015,AB1 3RB,AB1  3RB,AB1 3RB,198001,199606,0,395812,0805343,1,S00089109,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006631,S02001258,S34002996,S03000012,S99999999,S99999999,1,3C2,57.138969,-2.070832,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.073104489,57.139392827081494,1016,AB1 3RD,AB1  3RD,AB1 3RD,198001,199606,0,395675,0805392,1,S00089106,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000943,S99999999,S01006631,S02001258,S34003038,S03000012,S99999999,S99999999,1,7A1,57.139408,-2.073096,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.082571755,57.131868087253444,1017,AB1 3RE,AB1  3RE,AB1 3RE,198001,199606,0,395101,0804555,1,S00089041,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006629,S02001257,S34003135,S03000012,S99999999,S99999999,1,7D3,57.131884,-2.082564,S99999999,S99999999,S23000009,1283,S99999999,S99999999,S99999999,S99999999,S99999999
-2.072668295,57.135952588636364,1018,AB1 3RG,AB1  3RG,AB1 3RG,198001,199606,0,395701,0805009,1,S00089114,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003116,S03000012,S99999999,S99999999,1,7C2,57.135968,-2.07266,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.08037607,57.13248935957872,1019,AB1 3RH,AB1  3RH,AB1 3RH,198001,199606,0,395234,0804624,1,S00089088,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.132505,-2.080368,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.079039133,57.133020218420036,1020,AB1 3RJ,AB1  3RJ,AB1 3RJ,198001,199606,0,395315,0804683,1,S00089089,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006635,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A3,57.133036,-2.079031,S99999999,S99999999,S23000009,2055,S99999999,S99999999,S99999999,S99999999,S99999999
-2.077834702,57.13373962325641,1021,AB1 3RL,AB1  3RL,AB1 3RL,198001,199606,0,395388,0804763,1,S00089089,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006635,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A3,57.133755,-2.077826,S99999999,S99999999,S23000009,2055,S99999999,S99999999,S99999999,S99999999,S99999999
-2.07549092,57.134747173464156,1022,AB1 3RN,AB1  3RN,AB1 3RN,198001,199606,0,395530,0804875,1,S00089095,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006635,S02001258,S34003142,S03000012,S99999999,S99999999,1,7B1,57.134763,-2.075483,S99999999,S99999999,S23000009,2055,S99999999,S99999999,S99999999,S99999999,S99999999
-2.072783109,57.135521336152003,1023,AB1 3RP,AB1  3RP,AB1 3RP,198001,199606,0,395694,0804961,1,S00089096,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006634,S02001258,S34003142,S03000012,S99999999,S99999999,1,7A1,57.135537,-2.072775,S99999999,S99999999,S23000009,500,S99999999,S99999999,S99999999,S99999999,S99999999
-2.072123131,57.135961890850098,1024,AB1 3RQ,AB1  3RQ,AB1 3RQ,198001,199606,0,395734,0805010,1,S00089114,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003116,S03000012,S99999999,S99999999,1,7C2,57.135977,-2.072115,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.071594776,57.136123892299757,1025,AB1 3RR,AB1  3RR,AB1 3RR,198001,199606,0,395766,0805028,1,S00089114,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003116,S03000012,S99999999,S99999999,1,7C2,57.136139,-2.071586,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.069811085,57.136421352256612,1026,AB1 3RS,AB1  3RS,AB1 3RS,198001,199606,0,395874,0805061,1,S00089110,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003116,S03000012,S99999999,S99999999,1,7A1,57.136437,-2.069803,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.068522426,57.13640410757435,1027,AB1 3RT,AB1  3RT,AB1 3RT,198001,199606,0,395952,0805059,1,S00089115,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006636,S02001258,S34003062,S03000012,S99999999,S99999999,1,7A1,57.13642,-2.068514,S99999999,S99999999,S23000009,675,S99999999,S99999999,S99999999,S99999999,S99999999
-2.069349012,57.136700086054113,1028,AB1 3RU,AB1  3RU,AB1 3RU,198001,199606,0,395902,0805092,1,S00089110,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003116,S03000012,S99999999,S99999999,1,7A1,57.136716,-2.069341,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.069481824,57.137050349203193,1029,AB1 3RX,AB1  3RX,AB1 3RX,198001,199606,0,395894,0805131,1,S00089111,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003062,S03000012,S99999999,S99999999,1,7A1,57.137066,-2.069473,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.082125061,57.131553978371116,1030,AB1 3RY,AB1  3RY,AB1 3RY,198001,199606,0,395128,0804520,1,S00089088,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.13157,-2.082117,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.081597299,57.131940596913402,1031,AB1 3RZ,AB1  3RZ,AB1 3RZ,198001,199606,0,395160,0804563,1,S00089088,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.131956,-2.081589,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.081876871,57.131365499148977,1032,AB1 3SA,AB1  3SA,AB1 3SA,198001,199606,0,395143,0804499,1,S00089091,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.131381,-2.081869,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.071263312,57.135567136559779,1033,AB1 3SB,AB1  3SB,AB1 3SB,198001,199606,0,395786,0804966,1,S00089114,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006631,S02001258,S34003116,S03000012,S99999999,S99999999,1,7C2,57.135583,-2.071255,S99999999,S99999999,S23000009,1497,S99999999,S99999999,S99999999,S99999999,S99999999
-2.079599045,57.132193421602025,1034,AB1 3SD,AB1  3SD,AB1 3SD,198001,199606,0,395281,0804591,1,S00089090,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.132209,-2.079591,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.078195378,57.132409908448253,1035,AB1 3SE,AB1  3SE,AB1 3SE,198001,199606,0,395366,0804615,1,S00089090,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.132425,-2.078187,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.070932363,57.135279870227919,1036,AB1 3SF,AB1  3SF,AB1 3SF,198001,199606,0,395806,0804934,1,S00089116,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006636,S02001258,S34003116,S03000012,S99999999,S99999999,1,7B1,57.135295,-2.070924,S99999999,S99999999,S23000009,675,S99999999,S99999999,S99999999,S99999999,S99999999
-2.080276343,57.132201967527699,1037,AB1 3SH,AB1  3SH,AB1 3SH,198001,199606,0,395240,0804592,1,S00089090,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.132218,-2.080268,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.077701251,57.133110895571043,1038,AB1 3SJ,AB1  3SJ,AB1 3SJ,198001,199606,0,395396,0804693,1,S00089093,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.133126,-2.077693,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.075951243,57.133632997139358,1039,AB1 3SL,AB1  3SL,AB1 3SL,198001,199606,0,395502,0804751,1,S00089093,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006633,S02001258,S34003135,S03000012,S99999999,S99999999,1,7A1,57.133649,-2.075943,S99999999,S99999999,S23000009,1122,S99999999,S99999999,S99999999,S99999999,S99999999
-2.076877458,57.134180389539914,1040,AB1 3SN,AB1  3SN,AB1 3SN,198001,199606,0,395446,0804812,1,S00089095,S99999999,S12000033,S13002846,S08000020,S92000003,S14000002,S15000001,S09000001,S22000047,S03000012,S31000944,S99999999,S01006635,S02001258,S34003142,S03000012,S99999999,S99999999,1,7B1,57.134196,-2.076869,S99999999,S99999999,S23000009,2055,S99999999,S99999999,S99999999,S99999999,S99999999
